,Andhiyarkhore,Bamnidhi,Basantpur,Ghatora,Kelo,Kurubhata,Paramanpur,Rajim,Rampur,Simga,Sundargarh,Catchment1,Catchment2
01-06-2000,0.427,70.55,48.58,0.742,0,0,0,2.29,0,1.217,1.978,0,0
02-06-2000,0.419,44,50.28,0.758,0,0,0,1.759,0,1.134,2.966,0,0
03-06-2000,0.423,75.74,42.24,0.587,0,0,0,55.97,0,1.401,2.755,0,0
04-06-2000,0.53,40,44,0.6,0,2.854,0,30,0,1.401,2.6,0,0
05-06-2000,0.543,41,46.83,0.549,0,3.271,0,23.43,0,1.096,2.225,0,0
06-06-2000,0.932,60.6,43.32,0.627,0,3.081,0,22.343,0,1.022,9.546,0,0
07-06-2000,2.369,65.41,54.29,11,0,3.049,0,21.735,1,0.931,7.771,0,0
08-06-2000,24,68,55.8,5,0,2.953,0,19.145,0.9,3.214,32.16,0,0
09-06-2000,32.633,98,128.7,1.659,0,3.005,0,54.59,0.9,6.546,60.35,15.562,0
10-06-2000,9.134,95,73.38,1.195,0,31.788,0,30.48,0.8,11.63,43.2,0,0
11-06-2000,9,65,83,0.9,0,37,0,24.5,0.8,11.64,30,0,89.929
12-06-2000,2.863,68,78.97,0.83,0,35.51,0,22.912,0.7,7.645,26.61,0,15.773
13-06-2000,1.628,42,92.1,0.794,0,28.16,0,23.554,0.95,6.751,14.64,0,0
14-06-2000,3.99,41,91.54,0.683,0,19.48,0,53.81,0.8,10.413,12.8,4.767,16.387
15-06-2000,5,41,95,0.5,0,15,0,54,0,10.33,12,4.536,26.785
16-06-2000,4.5,53,91.99,0.948,4,50.71,0,40.16,91.1,15.519,50.53,0,199.925
17-06-2000,6,70.75,145,1.092,110,127.3,0,23.41,5.887,25.255,71.68,0,86.845
18-06-2000,10,70,119,4,10,60,0,22.35,4,24.32,95,0,16.143
19-06-2000,45.741,58,95.75,17,2,43.68,0,22,10.06,69.75,68.22,0,36.738
20-06-2000,46.739,49,101.7,90,1,56.74,0,24.68,14.95,69.89,102.1,0,0
21-06-2000,26.359,106.1,160.6,63,37.47,140,0,24.1,8.062,65.37,128.5,0,103.06
22-06-2000,20.747,87.1,293.5,50,30.55,84.65,0,24.68,5.395,71.59,175.7,0,0
23-06-2000,12.292,95.86,261.8,38,5.998,90.2,0,35.22,2.908,60.41,129.9,0,46.974
24-06-2000,6.666,82.15,214.7,22,5.307,63.77,0,34.05,2.475,46.3,85.03,0,156.513
25-06-2000,4.94,94,180,14,1.5,45,0,25,2,46.3,50,0,0
26-06-2000,4.479,83.57,144.8,42,1.277,32.13,0,24.15,2.791,31.39,58.36,0,128.686
27-06-2000,3.423,116.9,120.9,25,0.909,30.29,0,22.832,2.244,28.94,65.64,0,64.596
28-06-2000,3.123,89.69,118.8,19,23,34.2,0,32.32,5.774,30.96,124.98,0,0
29-06-2000,3.08,90,110.8,15,11.29,36.71,0,25.02,2.985,29,281.2,0,79.78
30-06-2000,2.452,82.78,147.1,64,5.71,34.06,0,30.1,2.505,42.48,145.5,0,45.382
01-07-2000,2.2,69.68,244.8,30,1.603,29.52,0,21,2.286,52.81,88.63,66.26,74.752
02-07-2000,2.5,42,235,18,1.55,29,0,14.617,1.89,52.48,50,71.938,27.499
03-07-2000,4.039,38.21,220.2,8.778,1.502,22,0,12.62,2.316,66.51,31,86.694,0
04-07-2000,2.976,47.25,228.2,11.42,5.814,29.06,0,10.93,6.382,57.69,23.61,98.521,0
05-07-2000,11.383,38.54,240.4,8.394,1.223,19.42,0,8.209,3.097,47.62,22.73,108.595,0
06-07-2000,4.765,37.36,244,2.513,0.966,12.91,0,17.32,2.338,39.15,14.71,118.999,0
07-07-2000,4.873,85.35,221,1.709,1.046,11.64,0,19.45,2.22,37.48,12.37,73.178,0
08-07-2000,5.832,64.91,234.3,2.709,0.821,15.14,0,17.16,1.72,30.53,15.04,85.969,0
09-07-2000,7.582,107,240,31,65,29,0,12,2.3,30.67,35,80.876,0
10-07-2000,14.71,116.6,362.4,5.042,6.421,31.15,0,4.97,1.745,39.47,31.36,178.202,0
11-07-2000,18.796,126.3,325.6,5.007,5,37.87,0,4.014,1.792,33.56,34.41,134.889,0
12-07-2000,12.627,130.8,445.3,27,9,44.88,0,17.19,34.1,48.3,44.82,247.555,41.089
13-07-2000,13.373,126.2,578.3,16.15,5.821,52.02,0,157.5,50.07,54.44,69.74,328.588,33.01
14-07-2000,20.132,129.5,499.3,8.254,6.168,58.06,0,67.13,44.91,85.46,307.7,161.809,0
15-07-2000,19.159,107.7,494.8,20,5.385,67.59,0,53.18,24.92,363.9,178.8,152.941,0
16-07-2000,9,107,515,18,68,70,0,22,18,325.3,300,162.727,0
17-07-2000,6.026,140.6,676.2,28,77.91,120.22,0,24.45,15.18,149.6,235.9,131.406,150.083
18-07-2000,30,136.8,605.9,62,56.4,100.9,0,764.4,12.61,253,800,113.763,242.032
19-07-2000,10.5,494.1,705.6,153.8,77.91,714.4,0,1152.3,13.56,1893.5,2000.3,0,891.04
20-07-2000,17.362,391.6,5015,220.8,35,450.8,0,489.5,113,2824.3,1500.8,2123.3,0
21-07-2000,8.456,300.6,5134,100,22.83,228.6,0,299.4,75.55,2150.6,347.9,1449.56,0
22-07-2000,5.591,128.9,3394,58,15.88,123.2,0,186.5,60.8,836.6,250.2,233.27,403.714
23-07-2000,4,140,1900,32,7.44,91.23,0,125,32,452,175,0,843.577
24-07-2000,2.41,97.26,1125,27.57,5.911,60.97,0,97.53,17.66,285.5,109.5,84.859,266.299
25-07-2000,2.286,73.55,738.7,21.68,7.031,49.66,0,57.94,17.68,155.6,116.02,81.232,0
26-07-2000,18.134,91.7,587.6,31.5,25,60.84,0,49.5,15.15,137.2,451.96,121.628,0
27-07-2000,22.865,930.8,1409,50.51,28,140,0,68.31,26.45,161.9,1000.8,411.296,0
28-07-2000,15.305,390.3,926.2,35.94,30,150,0,69.93,33.54,352.1,321.8,91.091,0
29-07-2000,12.302,451.3,1046,68,11.88,104.91,0,59.36,36.36,382.9,450.4,229.323,250.669
30-07-2000,9.866,150,1040,60,8,200,0,60,32,300,430,279.41,0
31-07-2000,9.166,111.5,804,40.91,23,124.3,0,30.95,27.86,228.6,435.2,171.08,0
01-08-2000,5.199,95.29,636.4,28,17,125.4,0,18.43,18.84,155.9,350.7,136.234,43.507
02-08-2000,4.103,100.1,500,27.24,11.54,119.8,0,17.68,15.01,119.3,243.6,105.974,139.814
03-08-2000,4.306,93.29,430,23.88,7.5,70.53,0,14.35,10,91.62,207.9,112.263,38.829
04-08-2000,4.185,60.95,382.8,15.78,6,69.61,0,13.34,6.27,63.81,140.2,133.972,0
05-08-2000,1.469,57.33,350.5,11.96,2.5,65.02,0,13.16,4.85,50.44,100.47,151.446,0
06-08-2000,1.5,56,330,8,1.5,45,0,12,3.8,48.73,72,163.152,0
07-08-2000,0.913,53.02,305.8,8.507,1.5,34.45,0,11.78,2.95,29.35,69.63,163.836,0
08-08-2000,0.912,129.9,329.3,7.602,2,36.21,0,12.11,2.87,26.67,60.77,150.946,0
